pid,process_name,avg_cpu,max_cpu,avg_memory,total_disk_write,max_write_burst,process_lifetime,label
3768,SearchIndexer.exe,2.3653846153846154,25.0,0.8119230769230769,31478552,9236480,1224498.0,1
3820,SearchFilterHost.exe,0.0,0.0,0.11,0,0,35.0,0
3912,svchost.exe,0.0,0.0,0.2503846153846153,0,0,1224498.0,0
3940,SkypeBridge.exe,0.0,0.0,0.74,319,319,102.0,1
3968,msedge.exe,0.0,0.0,2.3972727272727274,296333,130079,17063.0,1
3996,SearchApp.exe,0.0,0.0,2.83,0,0,35.0,0
4012,svchost.exe,0.0,0.0,0.0834615384615384,0,0,1224498.0,0
4060,svchost.exe,0.0,0.0,0.1321739130434782,0,0,1209417.0,0
4088,msedge.exe,0.0,0.0,0.5136363636363636,279454,121659,17063.0,1
4108,StartMenuExperienceHost.exe,0.0,0.0,0.7438888888888889,0,0,26847.0,0
4132,python.exe,0.0,0.0,0.15,0,0,35.0,0
4180,MoUsoCoreWorker.exe,0.0,0.0,0.566923076923077,0,0,1224499.0,0
4204,SearchFilterHost.exe,0.0,0.0,0.1149999999999999,0,0,66.0,0
4280,svchost.exe,0.0,0.0,0.07,0,0,1198083.0,0
4296,svchost.exe,0.0,0.0,0.09,0,0,82.0,0
4348,svchost.exe,0.0,0.0,0.4733333333333333,2561424,1127664,26848.0,1
4372,cmd.exe,0.0,0.0,0.1,0,0,35.0,0
4420,dllhost.exe,0.0,0.0,0.09,0,0,93.0,0
4424,AggregatorHost.exe,0.0,0.0,0.1315384615384615,0,0,1224499.0,0
4456,RuntimeBroker.exe,0.0,0.0,0.3403846153846153,0,0,1224499.0,0
4468,svchost.exe,0.0,0.0,0.16,0,0,431.0,0
4512,svchost.exe,0.0,0.0,0.1576923076923077,0,0,1224499.0,0
4576,msedge.exe,0.0,0.0,0.22,0,0,0.0,0
4588,SearchApp.exe,0.0,0.0,2.534666666666667,2279289,2279289,11767.0,1
4596,svchost.exe,0.0,0.0,0.1162499999999999,0,0,1982.0,0
4652,svchost.exe,0.0,0.0,0.34,0,0,20.0,0
4696,sihost.exe,0.0,0.0,0.3419230769230769,0,0,1224499.0,0
4776,explorer.exe,39.14444444444444,218.4,3.053888888888889,47859,47859,26849.0,1
4816,svchost.exe,0.0,0.0,0.2319230769230769,0,0,1224500.0,0
4824,RuntimeBroker.exe,0.0,0.0,0.34,0,0,35.0,0
4832,svchost.exe,0.0,0.0,0.09,0,0,0.0,0
4852,msedge.exe,0.0,0.0,0.24,0,0,0.0,0
4872,svchost.exe,0.0,0.0,0.2596153846153846,0,0,1224500.0,0
4884,SearchProtocolHost.exe,0.0,0.0,0.1885714285714285,0,0,93.0,0
4888,python.exe,0.0,0.0,0.11,190000,190000,14.0,1
4912,svchost.exe,0.0,0.0,0.2584615384615384,0,0,1224500.0,0
4928,svchost.exe,0.0,0.0,0.26,0,0,103.0,0
4948,svchost.exe,0.5461538461538461,14.2,0.2819230769230769,0,0,1224500.0,0
4964,conhost.exe,0.0,0.0,0.26,0,0,93.0,0
4980,msedge.exe,0.0,0.0,0.1,36,36,325.0,1
4984,SearchProtocolHost.exe,19.1,57.3,0.1733333333333333,0,0,22.0,0
4996,cmd.exe,0.0,0.0,0.1,0,0,22.0,0
5100,csrss.exe,0.0,0.0,0.07,0,0,1224501.0,0
5140,msedge.exe,0.0,0.0,0.4166666666666667,186688,186688,325.0,1
5200,svchost.exe,0.0,0.0,0.0988461538461538,0,0,1224501.0,0
5220,explorer.exe,0.0,0.0,2.0525,0,0,104.0,0
5228,SearchFilterHost.exe,0.0,0.0,0.11,0,0,0.0,0
5272,MsMpEng.exe,0.0,0.0,2.56875,0,0,104.0,0
5312,smartscreen.exe,0.0,0.0,0.2861111111111111,0,0,26851.0,0
5520,SkypeBackgroundHost.exe,0.0,0.0,0.05,0,0,35.0,0
